Year,Suburb,Postcode,Total_Crime
2011,ABERFOYLE PARK,5159,509.0
2011,ADELAIDE,5000,6798.0
2011,ADELAIDE AIRPORT,5950,2.0
2011,ADELAIDE AIRPORT,5950,167.0
2011,AGERY,5558,3.0
2011,ALBERT PARK,5014,135.0
2011,ALBERT PARK,5014,3.0
2011,ALBERTON,5014,198.0
2011,ALBERTON,5014,4.0
2011,ALDGATE,5154,84.0
2011,ALDINGA,5173,83.0
2011,ALDINGA BEACH,5173,651.0
2011,ALFORD,5555,3.0
2011,ALLENBY GARDENS,5009,126.0
2011,ALLENDALE EAST,5291,14.0
2011,AMATA,872,189.0
2011,AMERICAN RIVER,5221,12.0
2011,ANANGU PITJANTJATJARA YANKUNYTJATJARA,872,2.0
2011,ANDAMOOKA,5722,32.0
2011,ANDREWS,5454,2.0
2011,ANDREWS FARM,5114,459.0
2011,ANGAS PLAINS,5255,1.0
2011,ANGAS VALLEY,5238,2.0
2011,ANGASTON,5353,105.0
2011,ANGLE PARK,5010,187.0
2011,ANGLE VALE,5117,151.0
2011,ANTECHAMBER BAY,5222,1.0
2011,APPILA,5480,1.0
2011,ARDROSSAN,5571,59.0
2011,ARKAROOLA,5732,1.0
2011,ARNO BAY,5603,9.0
2011,ARTHURTON,5572,2.0
2011,ASCOT PARK,5043,311.0
2011,ASHBOURNE,5157,8.0
2011,ASHFORD,5035,88.0
2011,ASHTON,5137,14.0
2011,ATHELSTONE,5076,274.0
2011,ATHOL PARK,5012,131.0
2011,AUBURN,5451,9.0
2011,AULDANA,5072,5.0
2011,AUSTRALIA PLAINS,5374,2.0
2011,AVON,5501,5.0
2011,BACK VALLEY,5211,4.0
2011,BAGOT WELL,5373,2.0
2011,BALAKLAVA,5461,96.0
2011,BALDINA,5417,1.0
2011,BALGOWAN,5573,3.0
2011,BALHANNAH,5242,32.0
2011,BANKSIA PARK,5091,201.0
2011,BARMERA,5345,227.0
2011,BARUNGA GAP,5520,2.0
2011,BASKET RANGE,5138,19.0
2011,BEACHPORT,5280,39.0
2011,BEAUFORT,5550,5.0
2011,BEAUMONT,5066,68.0
2011,BEDFORD PARK,5042,205.0
2011,BEETALOO VALLEY,5523,1.0
2011,BELAIR,5052,250.0
2011,BELALIE EAST,5491,1.0
2011,BELALIE NORTH,5491,2.0
2011,BELLEVUE HEIGHTS,5050,46.0
2011,BELTANA,5730,2.0
2011,BELVIDERE,5255,1.0
2011,BERRI,5343,548.0
2011,BETHANY,5352,4.0
2011,BETHEL,5373,7.0
2011,BEULAH PARK,5067,60.0
2011,BEVERLEY,5009,195.0
2011,BEVERLEY,5009,5.0
2011,BIBARINGA,5118,3.0
2011,BIGGS FLAT,5153,5.0
2011,BIRCHMORE,5223,1.0
2011,BIRDWOOD,5234,70.0
2011,BIRKENHEAD,5015,149.0
2011,BLACK FOREST,5035,126.0
2011,BLACK HILL,5353,1.0
2011,BLACK POINT,5571,5.0
2011,BLACK SPRINGS,5413,3.0
2011,BLACKFELLOWS CAVES,5291,3.0
2011,BLACKWOOD,5051,281.0
2011,BLAIR ATHOL,5084,544.0
2011,BLAKEVIEW,5114,318.0
2011,BLAKISTON,5250,7.0
2011,BLANCHE HARBOR,5700,1.0
2011,BLANCHETOWN,5357,1.0
2011,BLANCHETOWN,5357,31.0
2011,BLETCHLEY,5255,1.0
2011,BLEWITT SPRINGS,5171,12.0
2011,BLYTH,5462,5.0
2011,BOATSWAIN POINT,5275,1.0
2011,BOLIVAR,5110,79.0
2011,BOOBOROWIE,5417,6.0
2011,BOOKPURNONG,5333,2.0
2011,BOOLEROO CENTRE,5482,9.0
